Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-11,13273.3095703125,13433.6201171875,13246.330078125,13398.669921875,5956260000,0,0
2021-03-12,13222.8095703125,13324.6904296875,13158.7197265625,13319.8603515625,5472340000,0,0
2021-03-15,13323.4697265625,13460.349609375,13272.5,13459.7099609375,5933440000,0,0
2021-03-16,13523.169921875,13620.7099609375,13397.080078125,13471.5703125,5463770000,0,0
2021-03-17,13336.91015625,13595.0,13272.6904296875,13525.2001953125,5465500000,0,0
2021-03-18,13349.2001953125,13384.4599609375,13101.919921875,13116.169921875,5699900000,0,0
2021-03-19,13119.900390625,13252.3701171875,13039.4501953125,13215.240234375,7591530000,0,0
2021-03-22,13278.7802734375,13455.6396484375,13278.7802734375,13377.5400390625,5302770000,0,0
2021-03-23,13381.4296875,13405.150390625,13202.4296875,13227.7001953125,5607860000,0,0
2021-03-24,13289.240234375,13292.919921875,12961.349609375,12961.8896484375,6184470000,0,0
2021-03-25,12844.580078125,13021.8603515625,12786.8095703125,12977.6796875,5608640000,0,0
2021-03-26,12996.0302734375,13149.5498046875,12878.7197265625,13138.73046875,5195330000,0,0
2021-03-29,13103.9697265625,13143.41015625,12968.16015625,13059.650390625,4934000000,0,0
2021-03-30,13008.7998046875,13075.75,12922.5703125,13045.3896484375,4685320000,0,0
2021-03-31,13122.5703125,13325.5400390625,13118.3798828125,13246.8701171875,4980670000,0,0
2021-04-01,13414.3203125,13487.080078125,13404.1796875,13480.1103515625,4553470000,0,0
2021-04-05,13594.900390625,13720.580078125,13582.759765625,13705.58984375,4439970000,0,0
2021-04-06,13681.669921875,13776.7099609375,13674.2802734375,13698.3798828125,4038510000,0,0
2021-04-07,13675.2998046875,13733.0302734375,13653.58984375,13688.83984375,4078990000,0,0
2021-04-08,13796.8896484375,13830.1396484375,13758.7099609375,13829.3095703125,4133640000,0,0
2021-04-09,13787.01953125,13905.41015625,13748.349609375,13900.1904296875,3906460000,0,0
2021-04-12,13854.4404296875,13877.0,13783.9501953125,13850.0,4230160000,0,0
2021-04-13,13902.4501953125,14011.509765625,13902.4501953125,13996.099609375,4200290000,0,0
2021-04-14,14004.080078125,14033.6298828125,13839.0400390625,13857.83984375,4102380000,0,0
2021-04-15,13983.23046875,14049.1298828125,13970.419921875,14038.759765625,4382620000,0,0
2021-04-16,14059.1103515625,14062.5,13977.0498046875,14052.33984375,4414640000,0,0
2021-04-19,13984.580078125,14041.7900390625,13842.5703125,13914.76953125,4349340000,0,0
2021-04-20,13894.4599609375,13927.669921875,13698.669921875,13786.26953125,4229410000,0,0
2021-04-21,13745.76953125,13951.349609375,13706.8603515625,13950.2197265625,3967090000,0,0
2021-04-22,13952.5703125,14015.8701171875,13771.0400390625,13818.41015625,4397030000,0,0
2021-04-23,13861.3701171875,14062.740234375,13856.830078125,14016.8095703125,4332500000,0,0
2021-04-26,14052.3798828125,14154.0302734375,14019.5,14138.7802734375,4479480000,0,0
2021-04-27,14170.91015625,14171.240234375,14064.2802734375,14090.2197265625,4665430000,0,0
2021-04-28,14082.7802734375,14133.650390625,14034.7001953125,14051.0302734375,4532050000,0,0
2021-04-29,14204.509765625,14211.5703125,13952.7998046875,14082.5498046875,4854340000,0,0
2021-04-30,13970.73046875,14084.759765625,13941.6298828125,13962.6796875,4762770000,0,0
2021-05-03,14031.76953125,14042.1201171875,13881.509765625,13895.1201171875,4718850000,0,0
2021-05-04,13774.509765625,13795.5703125,13485.58984375,13633.5,5852850000,0,0
2021-05-05,13731.1298828125,13753.0498046875,13553.9296875,13582.419921875,4517100000,0,0
2021-05-06,13557.830078125,13635.73046875,13439.3896484375,13632.83984375,5000710000,0,0
2021-05-07,13723.08984375,13828.6201171875,13690.75,13752.240234375,4376800000,0,0
2021-05-10,13687.58984375,13687.9296875,13401.740234375,13401.8603515625,4795690000,0,0
2021-05-11,13115.849609375,13423.3095703125,13107.669921875,13389.4296875,4719720000,0,0
2021-05-12,13215.490234375,13288.6103515625,13002.5400390625,13031.6796875,4730740000,0,0
2021-05-13,13150.9404296875,13247.8701171875,13007.240234375,13124.990234375,4681530000,0,0
2021-05-14,13255.650390625,13460.8798828125,13242.9697265625,13429.98046875,4008110000,0,0
2021-05-17,13368.7998046875,13399.169921875,13265.400390625,13379.0498046875,3980630000,0,0
2021-05-18,13416.900390625,13485.33984375,13299.9296875,13303.6396484375,4283680000,0,0
2021-05-19,13078.1904296875,13304.6103515625,13072.23046875,13299.740234375,4314980000,0,0
2021-05-20,13356.6298828125,13563.51953125,13355.7099609375,13535.740234375,3972730000,0,0
2021-05-21,13616.1904296875,13616.580078125,13463.259765625,13470.990234375,3704590000,0,0
2021-05-24,13557.2099609375,13708.849609375,13551.009765625,13661.169921875,3490650000,0,0
2021-05-25,13721.5400390625,13751.1396484375,13631.7998046875,13657.169921875,4084480000,0,0
2021-05-26,13693.9404296875,13750.16015625,13679.58984375,13738.0,4231140000,0,0
2021-05-27,13742.58984375,13776.51953125,13701.6298828125,13736.2802734375,5057550000,0,0
2021-05-28,13792.0498046875,13820.8701171875,13747.6103515625,13748.740234375,4435220000,0,0
2021-06-01,13829.0595703125,13836.169921875,13678.76953125,13736.48046875,4155670000,0,0
2021-06-02,13743.240234375,13775.8896484375,13689.740234375,13756.330078125,5059810000,0,0
2021-06-03,13655.75,13684.1298828125,13548.9296875,13614.509765625,5367460000,0,0
2021-06-04,13697.25,13826.8203125,13692.009765625,13814.490234375,4341800000,0,0
2021-06-07,13802.8203125,13889.1103515625,13784.8896484375,13881.7197265625,4602940000,0,0
2021-06-08,13946.3203125,13981.7197265625,13831.98046875,13924.91015625,5894140000,0,0
2021-06-09,13980.23046875,14003.5,13906.4501953125,13911.75,5607720000,0,0
2021-06-10,13933.8798828125,14031.1904296875,13904.400390625,14020.330078125,4889500000,0,0
2021-06-11,14030.849609375,14069.419921875,14006.58984375,14069.419921875,4140190000,0,0
2021-06-14,14083.4697265625,14175.4501953125,14056.669921875,14174.1396484375,4394380000,0,0
2021-06-15,14166.6396484375,14171.01953125,14052.16015625,14072.8603515625,4517770000,0,0
2021-06-16,14085.5498046875,14129.6904296875,13903.73046875,14039.6796875,4632480000,0,0
2021-06-17,13999.1298828125,14196.2099609375,13998.9296875,14161.349609375,4526780000,0,0
2021-06-18,14096.9296875,14129.2197265625,14009.0400390625,14030.3798828125,6105960000,0,0
2021-06-21,14047.419921875,14150.7802734375,13960.0400390625,14141.48046875,4523120000,0,0
2021-06-22,14138.2900390625,14269.76953125,14121.0,14253.26953125,4405260000,0,0
2021-06-23,14263.3798828125,14317.66015625,14246.2998046875,14271.73046875,4394600000,0,0
2021-06-24,14357.26953125,14414.4599609375,14333.7001953125,14369.7099609375,4297280000,0,0
2021-06-25,14400.8095703125,14409.080078125,14337.650390625,14360.3896484375,7436800000,0,0
2021-06-28,14417.8095703125,14505.1904296875,14417.2001953125,14500.509765625,4235620000,0,0
2021-06-29,14509.1904296875,14535.9697265625,14471.3798828125,14528.330078125,4842860000,0,0
2021-06-30,14509.849609375,14526.8095703125,14478.0595703125,14503.9501953125,5264790000,0,0
2021-07-01,14493.6904296875,14533.5498046875,14439.400390625,14522.3798828125,4371620000,0,0
2021-07-02,14582.98046875,14649.1103515625,14555.33984375,14639.330078125,3731730000,0,0
2021-07-06,14661.5498046875,14687.0,14529.7998046875,14663.6396484375,4464780000,0,0
2021-07-07,14753.41015625,14755.330078125,14580.7900390625,14665.0595703125,4582030000,0,0
2021-07-08,14409.2001953125,14610.0595703125,14371.58984375,14559.7802734375,4550600000,0,0
2021-07-09,14578.4296875,14710.2001953125,14552.259765625,14701.919921875,3809040000,0,0
2021-07-12,14743.8603515625,14761.080078125,14672.6298828125,14733.240234375,3864500000,0,0
2021-07-13,14715.1298828125,14803.6796875,14660.1904296875,14677.650390625,4553380000,0,0
