Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-03-07 09:30:00-05:00,13329.9560546875,13332.3037109375,13324.2763671875,13332.3037109375,0,0,0
2022-03-07 09:31:00-05:00,13339.1181640625,13349.1845703125,13338.5546875,13349.1845703125,22908592,0,0
2022-03-07 09:32:00-05:00,13351.328125,13351.328125,13328.91796875,13328.91796875,36035802,0,0
2022-03-07 09:33:00-05:00,13330.802734375,13337.328125,13315.8623046875,13315.8623046875,35061622,0,0
2022-03-07 09:34:00-05:00,13316.9580078125,13316.9580078125,13302.474609375,13302.474609375,30773895,0,0
2022-03-07 09:35:00-05:00,13296.4970703125,13301.12890625,13294.953125,13299.2109375,23273797,0,0
2022-03-07 09:36:00-05:00,13302.2119140625,13315.6142578125,13302.2119140625,13311.80859375,27350177,0,0
2022-03-07 09:37:00-05:00,13315.251953125,13324.0888671875,13313.6015625,13324.0888671875,23939610,0,0
2022-03-07 09:38:00-05:00,13335.044921875,13344.171875,13319.935546875,13319.935546875,22339294,0,0
2022-03-07 09:39:00-05:00,13313.2099609375,13321.33984375,13313.2099609375,13321.2431640625,21725296,0,0
2022-03-07 09:40:00-05:00,13321.9326171875,13321.9326171875,13304.78515625,13313.66015625,23242767,0,0
2022-03-07 09:41:00-05:00,13314.9033203125,13322.9462890625,13298.2607421875,13298.2607421875,23319066,0,0
2022-03-07 09:42:00-05:00,13291.5810546875,13291.5810546875,13266.9873046875,13267.56640625,21662675,0,0
2022-03-07 09:43:00-05:00,13264.9404296875,13264.9404296875,13253.5107421875,13253.7705078125,20890216,0,0
2022-03-07 09:44:00-05:00,13255.3076171875,13257.314453125,13240.671875,13253.4501953125,20822353,0,0
2022-03-07 09:45:00-05:00,13251.47265625,13265.8232421875,13251.47265625,13263.5419921875,18691175,0,0
2022-03-07 09:46:00-05:00,13256.146484375,13256.146484375,13256.146484375,13256.146484375,7980544,0,0
2022-03-07 09:47:00-05:00,13234.82421875,13234.82421875,13224.3017578125,13224.3017578125,30683517,0,0
2022-03-07 09:48:00-05:00,13226.1328125,13228.55078125,13218.451171875,13224.4638671875,20993571,0,0
2022-03-07 09:49:00-05:00,13218.8427734375,13227.5634765625,13218.8427734375,13222.46484375,17720289,0,0
2022-03-07 09:50:00-05:00,13229.9306640625,13245.939453125,13229.9306640625,13245.9013671875,19213137,0,0
2022-03-07 09:51:00-05:00,13246.318359375,13247.705078125,13230.177734375,13236.62109375,20613446,0,0
2022-03-07 09:52:00-05:00,13239.21484375,13242.732421875,13230.474609375,13233.83203125,19625474,0,0
2022-03-07 09:53:00-05:00,13232.0732421875,13232.0732421875,13215.4453125,13219.609375,22538644,0,0
2022-03-07 09:54:00-05:00,13220.1875,13234.8642578125,13220.1875,13229.8310546875,15850074,0,0
2022-03-07 09:55:00-05:00,13231.2919921875,13235.5146484375,13228.9951171875,13232.244140625,15438732,0,0
2022-03-07 09:56:00-05:00,13232.6103515625,13247.451171875,13232.6103515625,13242.7724609375,16334637,0,0
2022-03-07 09:57:00-05:00,13239.001953125,13239.001953125,13220.357421875,13222.2421875,18360972,0,0
2022-03-07 09:58:00-05:00,13215.6064453125,13215.7998046875,13198.7763671875,13204.0107421875,16896572,0,0
2022-03-07 09:59:00-05:00,13198.7841796875,13198.7841796875,13180.3447265625,13180.3447265625,19017850,0,0
2022-03-07 10:00:00-05:00,13170.93359375,13179.0361328125,13169.84765625,13169.84765625,18184851,0,0
2022-03-07 10:01:00-05:00,13168.7060546875,13177.8251953125,13163.2587890625,13163.2587890625,16758100,0,0
2022-03-07 10:02:00-05:00,13164.201171875,13169.529296875,13158.4765625,13169.529296875,16043806,0,0
2022-03-07 10:03:00-05:00,13173.1337890625,13175.3671875,13170.0615234375,13172.90234375,13574043,0,0
2022-03-07 10:04:00-05:00,13171.8193359375,13176.94921875,13165.443359375,13176.0009765625,14993355,0,0
2022-03-07 10:05:00-05:00,13171.384765625,13175.1103515625,13169.1455078125,13175.1103515625,18097385,0,0
2022-03-07 10:06:00-05:00,13173.12890625,13182.1796875,13173.12890625,13178.615234375,16588173,0,0
2022-03-07 10:07:00-05:00,13177.44921875,13185.6591796875,13177.44921875,13183.681640625,17016860,0,0
2022-03-07 10:08:00-05:00,13179.3046875,13186.1484375,13179.3046875,13181.6181640625,14469456,0,0
2022-03-07 10:09:00-05:00,13178.890625,13178.890625,13171.234375,13175.8115234375,14534511,0,0
2022-03-07 10:10:00-05:00,13170.9599609375,13181.6884765625,13162.1787109375,13162.1787109375,16053000,0,0
2022-03-07 10:11:00-05:00,13155.748046875,13156.4375,13147.7392578125,13149.689453125,15373000,0,0
2022-03-07 10:12:00-05:00,13146.607421875,13149.7236328125,13139.76171875,13139.76171875,12666000,0,0
2022-03-07 10:13:00-05:00,13137.94921875,13142.4296875,13133.607421875,13133.607421875,12792000,0,0
2022-03-07 10:14:00-05:00,13140.22265625,13140.22265625,13119.2763671875,13119.2763671875,17457000,0,0
2022-03-07 10:15:00-05:00,13118.9716796875,13128.4423828125,13118.9716796875,13128.22265625,19735000,0,0
2022-03-07 10:16:00-05:00,13125.85546875,13125.85546875,13116.9970703125,13116.9970703125,15653000,0,0
